payment_id,order_id,invoice_reference,payment_date,amount,currency,method,status,customer_name,description
pay_000020,order_0100021,INV-0019,2026-07-18,18694,INR,card,captured,UrbanNest Interiors,Payment for UrbanNest Interiors
pay_000021,order_0100022,INV-0020,2026-08-24,24100,INR,upi,captured,Vertex Components,Payment for Vertex Components
pay_000022,order_0100023,INV-0022,2026-08-29,320800,INR,upi,captured,Nova Technologies,Payment for Nova Technologies
pay_000023,order_0100024,INV-0023,2026-08-16,29200,INR,upi,captured,Kaveri Textiles,Payment for Kaveri Textiles
pay_000024,order_0100025,INV-0024,2026-07-30,68300,INR,card,captured,Northstar Foods,Payment for Northstar Foods
pay_000025,order_0100026,INV-0025,2026-08-12,470800,INR,upi,captured,Brightline Logistics,Payment for Brightline Logistics
pay_000026,order_0100027,INV-0026,2026-09-11,2371100,INR,netbanking,captured,Vijay Traders,Payment for Vijay Traders
pay_000027,order_0100028,INV-0027,2026-10-08,139700,INR,upi,captured,Sunrise Health,Payment for Sunrise Health
pay_000028,order_0100029,INV-0028,2026-08-30,383536,INR,card,captured,Sunrise Health,Payment for Sunrise Health
pay_000029,order_0100030,,2026-09-09,315064,INR,card,captured,Sunrise Health,Payment for Sunrise Health
pay_000030,order_0100031,INV-0029,2026-08-28,2257300,INR,card,captured,UrbanNest Interiors,Payment for UrbanNest Interiors
pay_000031,order_0100032,INV-0030,2026-08-13,747000,INR,card,captured,Nova Technologies,Payment for Nova Technologies
pay_000032,order_0100033,INV-0031,2026-08-18,10694,INR,card,captured,SilverOak Education,Payment for SilverOak Education
pay_000033,order_0100034,INV-0031,2026-08-11,8506,INR,netbanking,captured,SilverOak Education,Payment for SilverOak Education
pay_000034,order_0100035,,2026-07-22,457489,INR,card,captured,SilverOak Education,Payment for SilverOak Education
pay_000035,order_0100036,INV-0032,2026-08-11,742911,INR,card,captured,SilverOak Education,Payment for SilverOak Education
pay_000036,order_0100037,INV 0033,2026-08-07,479500,INR,netbanking,captured,Nova Technologies,Payment for Nova Technologies
pay_000037,order_0100038,INV-0034,2026-10-03,13446,INR,upi,captured,Brightline Logistics,Payment for Brightline Logistics
pay_000038,order_0100039,,2026-09-20,8454,INR,upi,captured,Brightline Logistics,Payment for Brightline Logistics
pay_000039,order_0100040,INV-0035,2026-08-02,42500,INR,card,captured,Metro Office Systems,Payment for Metro Office Systems
pay_000040,order_0100041,INV-0036,2026-07-07,1270700,INR,netbanking,captured,Metro Office Systems,Payment for Metro Office Systems
pay_000041,order_0100042,INV-0037,2026-08-30,768600,INR,netbanking,captured,Vertex Components,Payment for Vertex Components
pay_000042,order_0100043,INV-0038,2026-08-25,50400,INR,netbanking,captured,Apex Digital Services,Payment for Apex Digital Services
pay_000043,order_0100044,INV-0039,2026-08-19,29700,INR,netbanking,captured,Nova Technologies,Payment for Nova Technologies
pay_000044,order_0100045,INV-0041,2026-07-27,164600,INR,upi,captured,Vertex Components,Payment for Vertex Components
pay_000045,order_0100046,INV-0043,2026-07-19,326600,INR,upi,captured,Nova Technologies,Payment for Nova Technologies
pay_000046,order_0100047,INV 0044,2026-09-15,1365000,INR,upi,captured,Vijay Traders,Payment for Vijay Traders
pay_000047,order_0100048,INV-0045,2026-09-09,20300,INR,card,captured,Vertex Components,Payment for Vertex Components
pay_000048,order_0100049,INV-0046,2026-07-13,2307700,INR,netbanking,captured,UrbanNest Interiors,Payment for UrbanNest Interiors
pay_000049,order_0100050,INV 0047,2026-07-18,41800,INR,upi,captured,Northstar Foods,Payment for Northstar Foods
pay_000050,order_0100051,INV-0048,2026-08-26,86000,INR,card,captured,Acme Retail Pvt Ltd,Payment for Acme Retail Pvt Ltd
pay_000051,order_0100052,INV-0050,2026-08-13,1588500,INR,upi,captured,UrbanNest Interiors,Payment for UrbanNest Interiors
pay_000052,order_0100053,INV-0051,2026-08-31,308152,INR,upi,captured,SilverOak Education,Payment for SilverOak Education
pay_000053,order_0100054,INV-0051,2026-09-12,546048,INR,netbanking,captured,SilverOak Education,Payment for SilverOak Education
pay_000054,order_0100055,INV-0052,2026-08-17,476100,INR,netbanking,captured,SilverOak Education,Payment for SilverOak Education
pay_000055,order_0100056,INV-0053,2026-09-05,1132800,INR,upi,captured,UrbanNest Interiors,Payment for UrbanNest Interiors
pay_000056,order_0100057,INV-0055,2026-09-17,22500,INR,netbanking,captured,Northstar Foods,Payment for Northstar Foods
pay_000057,order_0100058,INV-0056,2026-08-16,496380,INR,netbanking,captured,Orion Manufacturing,Payment for Orion Manufacturing
pay_000058,order_0100059,INV-0056,2026-08-07,382520,INR,card,captured,Orion Manufacturing,Payment for Orion Manufacturing
pay_000059,order_0100060,INV-0057,2026-07-27,40000,INR,card,captured,Vijay Traders,Payment for Vijay Traders
pay_000060,order_0100061,INV 0058,2026-08-15,371700,INR,card,captured,Northstar Foods,Payment for Northstar Foods
pay_000061,order_0100062,INV-0059,2026-08-23,75600,INR,netbanking,captured,Kaveri Textiles,Payment for Kaveri Textiles
pay_000062,order_0100063,,2026-07-29,33700,INR,card,captured,Kaveri Textiles,Payment for Kaveri Textiles
pay_000063,order_0100064,INV-0061,2026-08-10,1200200,INR,upi,captured,Vijay Traders,Payment for Vijay Traders
pay_000064,order_0100065,,2026-08-19,216200,INR,netbanking,captured,UrbanNest Interiors,Payment for UrbanNest Interiors
pay_000065,order_0100066,INV-0063,2026-08-14,23700,INR,netbanking,captured,UrbanNest Interiors,Payment for UrbanNest Interiors
pay_000066,order_0100067,0064,2026-08-14,61200,INR,upi,captured,Sunrise Health,Payment for Sunrise Health
pay_000067,order_0100068,INV-0065,2026-08-05,24200,INR,card,captured,Orion Manufacturing,Payment for Orion Manufacturing
pay_000068,order_0100069,,2026-08-12,897600,INR,upi,captured,Vijay Traders,Payment for Vijay Traders
pay_000069,order_0100070,INV-0067,2026-08-24,2154000,INR,upi,captured,Sunrise Health,Payment for Sunrise Health
pay_000070,order_0100071,INV-0068,2026-08-20,206100,INR,card,captured,Metro Office Systems,Payment for Metro Office Systems
pay_000071,order_0100072,INV-0069,2026-08-14,62500,INR,netbanking,captured,Metro Office Systems,Payment for Metro Office Systems
pay_000072,order_0100073,INV-0070,2026-09-04,47700,INR,card,captured,GreenLeaf Distributors,Payment for GreenLeaf Distributors
pay_000073,order_0100074,INV 0071,2026-08-25,26400,INR,upi,captured,Northstar Foods,Payment for Northstar Foods
pay_000074,order_0100075,INV-0072,2026-08-11,295300,INR,netbanking,captured,Orion Manufacturing,Payment for Orion Manufacturing
pay_000075,order_0100076,INV-0073,2026-09-14,78200,INR,netbanking,captured,Orion Manufacturing,Payment for Orion Manufacturing
pay_000076,order_0100077,INV-0074,2026-08-10,24734,INR,netbanking,captured,BluePeak Consulting,Payment for BluePeak Consulting
pay_000077,order_0100078,,2026-08-20,35166,INR,upi,captured,BluePeak Consulting,Payment for BluePeak Consulting
pay_000078,order_0100079,INV-0075,2026-07-15,28000,INR,netbanking,captured,Vertex Components,Payment for Vertex Components
pay_000079,order_0100080,INV-0076,2026-10-10,206500,INR,card,captured,Nova Technologies,Payment for Nova Technologies
pay_000080,order_0100081,INV-0077,2026-08-29,489600,INR,netbanking,captured,GreenLeaf Distributors,Payment for GreenLeaf Distributors
pay_000081,order_0100082,INV-0078,2026-07-20,26900,INR,card,captured,Sunrise Health,Payment for Sunrise Health
pay_000082,order_0100083,INV-0079,2026-07-30,913600,INR,card,captured,Vijay Traders,Payment for Vijay Traders
pay_000083,order_0100084,INV-0080,2026-08-26,24500,INR,card,captured,Apex Digital Services,Payment for Apex Digital Services
pay_000084,order_0100085,0081,2026-07-26,1522200,INR,netbanking,captured,Nova Technologies,Payment for Nova Technologies
pay_000085,order_0100086,INV-0082,2026-07-15,33100,INR,card,captured,Brightline Logistics,Payment for Brightline Logistics
pay_000086,order_0100087,INV-0083,2026-09-11,1637700,INR,card,captured,BluePeak Consulting,Payment for BluePeak Consulting
pay_000087,order_0100088,INV 0084,2026-09-07,18300,INR,netbanking,captured,Northstar Foods,Payment for Northstar Foods
pay_000088,order_0100089,INV-0085,2026-09-04,172100,INR,netbanking,captured,GreenLeaf Distributors,Payment for GreenLeaf Distributors
pay_000089,order_0100090,INV-0086,2026-09-16,438200,INR,card,captured,Vertex Components,Payment for Vertex Components
pay_000090,order_0100091,0087,2026-09-03,1299000,INR,upi,captured,Vijay Traders,Payment for Vijay Traders
pay_000091,order_0100092,INV 0088,2026-08-11,26833,INR,card,captured,Kaveri Textiles,Payment for Kaveri Textiles
pay_000092,order_0100093,,2026-08-09,38467,INR,netbanking,captured,Kaveri Textiles,Payment for Kaveri Textiles
pay_000093,order_0100094,INV-0089,2026-09-14,460500,INR,netbanking,captured,GreenLeaf Distributors,Payment for GreenLeaf Distributors
pay_000094,order_0100095,INV 0090,2026-07-20,76800,INR,upi,captured,Metro Office Systems,Payment for Metro Office Systems
pay_000095,order_0100096,0091,2026-08-27,107000,INR,upi,captured,Kaveri Textiles,Payment for Kaveri Textiles
pay_000096,order_0100097,INV-0092,2026-07-28,251100,INR,upi,captured,Brightline Logistics,Payment for Brightline Logistics
pay_000097,order_0100098,INV-0093,2026-09-02,285800,INR,card,captured,Brightline Logistics,Payment for Brightline Logistics
pay_000098,order_0100099,INV 0094,2026-09-04,46100,INR,upi,captured,Northstar Foods,Payment for Northstar Foods
pay_000099,order_0100100,INV-0096,2026-07-23,23800,INR,card,captured,SilverOak Education,Payment for SilverOak Education
pay_000100,order_0100101,INV-0097,2026-07-28,913700,INR,netbanking,captured,Nova Technologies,Payment for Nova Technologies
pay_000101,order_0100102,INV-0099,2026-10-10,1813000,INR,upi,captured,BluePeak Consulting,Payment for BluePeak Consulting
pay_000102,order_0100103,INV-0100,2026-08-30,432200,INR,netbanking,captured,Kaveri Textiles,Payment for Kaveri Textiles
pay_000103,order_0100104,INV-0101,2026-08-12,1239500,INR,upi,captured,Vijay Traders,Payment for Vijay Traders
pay_000104,order_0100105,INV-0103,2026-09-01,73800,INR,card,captured,Vijay Traders,Payment for Vijay Traders
pay_000105,order_0100106,INV-0104,2026-07-28,2445800,INR,netbanking,captured,Northstar Foods,Payment for Northstar Foods
pay_000106,order_0100107,INV-0105,2026-08-30,381500,INR,netbanking,captured,Vijay Traders,Payment for Vijay Traders
pay_000107,order_0100108,INV-0106,2026-08-15,28458,INR,netbanking,captured,Kaveri Textiles,Payment for Kaveri Textiles
pay_000108,order_0100109,,2026-08-15,17342,INR,netbanking,captured,Kaveri Textiles,Payment for Kaveri Textiles
pay_000109,order_0100110,,2026-07-23,424600,INR,upi,captured,SilverOak Education,Payment for SilverOak Education
pay_000110,order_0100111,INV-0108,2026-09-18,2139900,INR,upi,captured,Sunrise Health,Payment for Sunrise Health
pay_000111,order_0100112,INV 0109,2026-08-25,26200,INR,netbanking,captured,Apex Digital Services,Payment for Apex Digital Services
pay_000112,order_0100113,INV-0110,2026-09-07,1074000,INR,card,captured,Kaveri Textiles,Payment for Kaveri Textiles
pay_000113,order_0100114,INV-0111,2026-09-10,22600,INR,upi,captured,Sunrise Health,Payment for Sunrise Health
pay_000114,order_0100115,0112,2026-08-02,1580700,INR,netbanking,captured,Orion Manufacturing,Payment for Orion Manufacturing
pay_000115,order_0100116,INV-0113,2026-09-22,286200,INR,netbanking,captured,BluePeak Consulting,Payment for BluePeak Consulting
pay_000116,order_0100117,INV 0114,2026-09-02,2277900,INR,card,captured,Northstar Foods,Payment for Northstar Foods
pay_000117,order_0100118,INV-0115,2026-08-17,33900,INR,netbanking,captured,Vijay Traders,Payment for Vijay Traders
pay_000118,order_0100119,INV-0116,2026-08-06,29200,INR,upi,captured,Metro Office Systems,Payment for Metro Office Systems
pay_000119,order_0100120,INV-0117,2026-08-13,544800,INR,netbanking,captured,Kaveri Textiles,Payment for Kaveri Textiles
pay_000120,order_0100121,INV-0119,2026-08-06,82700,INR,card,captured,BluePeak Consulting,Payment for BluePeak Consulting
pay_000121,order_0100122,INV 0120,2026-08-13,33300,INR,card,captured,Nova Technologies,Payment for Nova Technologies
pay_000122,order_0100123,INV-0121,2026-09-22,422600,INR,card,captured,UrbanNest Interiors,Payment for UrbanNest Interiors
pay_000123,order_0100124,INV-0122,2026-09-10,69600,INR,netbanking,captured,BluePeak Consulting,Payment for BluePeak Consulting
pay_000124,order_0100125,INV-0124,2026-07-16,32600,INR,netbanking,captured,SilverOak Education,Payment for SilverOak Education
pay_000125,order_0100126,,2026-08-25,20500,INR,upi,captured,Nova Technologies,Payment for Nova Technologies
pay_000126,order_0100127,INV-0127,2026-07-23,28400,INR,upi,captured,Sunrise Health,Payment for Sunrise Health
pay_000127,order_0100128,INV-0129,2026-09-09,41800,INR,netbanking,captured,Kaveri Textiles,Payment for Kaveri Textiles
pay_000128,order_0100129,INV-0130,2026-07-25,422976,INR,card,captured,Vertex Components,Payment for Vertex Components
pay_000129,order_0100130,INV 0130,2026-08-14,406324,INR,netbanking,captured,Vertex Components,Payment for Vertex Components
pay_000130,order_0100131,INV-0131,2026-09-01,426100,INR,netbanking,captured,BluePeak Consulting,Payment for BluePeak Consulting
pay_000131,order_0100132,INV-0132,2026-07-11,61000,INR,netbanking,captured,Orion Manufacturing,Payment for Orion Manufacturing
pay_000132,order_0100133,INV-0133,2026-08-28,74900,INR,netbanking,captured,Apex Digital Services,Payment for Apex Digital Services
pay_000133,order_0100134,,2026-08-22,103800,INR,card,captured,Kaveri Textiles,Payment for Kaveri Textiles
pay_000134,order_0100135,,2026-08-22,222500,INR,card,captured,Nova Technologies,Payment for Nova Technologies
pay_000135,order_0100136,INV 0136,2026-08-24,197100,INR,upi,captured,BluePeak Consulting,Payment for BluePeak Consulting
pay_000136,order_0100137,INV-0137,2026-07-27,18620,INR,upi,captured,Brightline Logistics,Payment for Brightline Logistics
pay_000137,order_0100138,INV-0137,2026-07-25,16180,INR,netbanking,captured,Brightline Logistics,Payment for Brightline Logistics
pay_000138,order_0100139,INV-0138,2026-09-06,71000,INR,netbanking,captured,Brightline Logistics,Payment for Brightline Logistics
pay_000139,order_0100140,INV-0139,2026-08-08,470000,INR,upi,captured,Apex Digital Services,Payment for Apex Digital Services
pay_000140,order_0100141,INV-0140,2026-09-14,472500,INR,card,captured,Acme Retail Pvt Ltd,Payment for Acme Retail Pvt Ltd
pay_000141,order_0100142,INV-0141,2026-08-04,497900,INR,upi,captured,Nova Technologies,Payment for Nova Technologies
pay_000142,order_0100143,,2026-09-02,25500,INR,card,captured,BluePeak Consulting,Payment for BluePeak Consulting
pay_000143,order_0100144,INV-0143,2026-07-21,446400,INR,card,captured,Northstar Foods,Payment for Northstar Foods
pay_000144,order_0100145,INV-0144,2026-07-11,286200,INR,card,captured,Orion Manufacturing,Payment for Orion Manufacturing
pay_000145,order_0100146,INV-0145,2026-09-07,20700,INR,card,captured,SilverOak Education,Payment for SilverOak Education
pay_000146,order_0100147,INV-0146,2026-07-29,360200,INR,netbanking,captured,Metro Office Systems,Payment for Metro Office Systems
pay_000147,order_0100148,INV-0147,2026-07-21,18900,INR,netbanking,captured,Northstar Foods,Payment for Northstar Foods
pay_000148,order_0100149,INV-0148,2026-08-09,2270100,INR,card,captured,Metro Office Systems,Payment for Metro Office Systems
pay_000149,order_0100150,INV-0150,2026-07-10,282100,INR,netbanking,captured,BluePeak Consulting,Payment for BluePeak Consulting
pay_000150,order_0100151,INV 0152,2026-08-04,34900,INR,upi,captured,SilverOak Education,Payment for SilverOak Education
pay_000151,order_0100152,INV-0153,2026-08-06,50500,INR,upi,captured,GreenLeaf Distributors,Payment for GreenLeaf Distributors
pay_000152,order_0100153,INV-0154,2026-09-11,26400,INR,netbanking,captured,SilverOak Education,Payment for SilverOak Education
pay_000153,order_0100154,INV-0155,2026-08-16,45600,INR,upi,captured,Nova Technologies,Payment for Nova Technologies
pay_000154,order_0100155,INV 0156,2026-09-07,106400,INR,netbanking,captured,UrbanNest Interiors,Payment for UrbanNest Interiors
pay_000155,order_0100156,INV-0157,2026-08-01,19600,INR,upi,captured,Brightline Logistics,Payment for Brightline Logistics
pay_000156,order_0100157,INV-0158,2026-08-28,34800,INR,card,captured,Vijay Traders,Payment for Vijay Traders
pay_000157,order_0100158,INV-0159,2026-09-26,2106500,INR,card,captured,Sunrise Health,Payment for Sunrise Health
pay_000158,order_0100159,INV-0160,2026-07-22,212600,INR,netbanking,captured,Northstar Foods,Payment for Northstar Foods
pay_000159,order_0100160,INV-0161,2026-09-05,29600,INR,upi,captured,Apex Digital Services,Payment for Apex Digital Services
pay_000160,order_0100161,INV-0162,2026-09-12,1248700,INR,upi,captured,Northstar Foods,Payment for Northstar Foods
pay_000161,order_0100162,,2026-08-26,274800,INR,upi,captured,Sunrise Health,Payment for Sunrise Health
pay_000162,order_0100163,INV-0164,2026-09-14,19700,INR,card,captured,Nova Technologies,Payment for Nova Technologies
pay_000163,order_0100164,INV-0165,2026-08-20,124500,INR,netbanking,captured,Brightline Logistics,Payment for Brightline Logistics
pay_000164,order_0100165,INV-0166,2026-08-16,217800,INR,card,captured,Orion Manufacturing,Payment for Orion Manufacturing
pay_000165,order_0100166,0167,2026-08-04,21900,INR,card,captured,Apex Digital Services,Payment for Apex Digital Services
pay_000166,order_0100167,INV-0168,2026-08-10,25100,INR,card,captured,Metro Office Systems,Payment for Metro Office Systems
pay_000167,order_0100168,INV-0169,2026-09-09,211900,INR,netbanking,captured,Kaveri Textiles,Payment for Kaveri Textiles
pay_000168,order_0100169,INV-0170,2026-09-15,73600,INR,netbanking,captured,Nova Technologies,Payment for Nova Technologies
pay_000169,order_0100170,INV-0171,2026-08-02,61400,INR,card,captured,Acme Retail Pvt Ltd,Payment for Acme Retail Pvt Ltd
pay_000170,order_0100171,INV-0172,2026-07-29,19300,INR,card,captured,Brightline Logistics,Payment for Brightline Logistics
pay_000171,order_0100172,INV-0173,2026-08-20,62600,INR,card,captured,Kaveri Textiles,Payment for Kaveri Textiles
pay_000172,order_0100173,INV-0174,2026-07-24,2443500,INR,upi,captured,Northstar Foods,Payment for Northstar Foods
pay_000173,order_0100174,INV-0175,2026-07-11,70600,INR,netbanking,captured,BluePeak Consulting,Payment for BluePeak Consulting
pay_000174,order_0100175,INV-0176,2026-08-24,24500,INR,card,captured,Vijay Traders,Payment for Vijay Traders
pay_000175,order_0100176,INV-0177,2026-08-08,388200,INR,upi,captured,Orion Manufacturing,Payment for Orion Manufacturing
pay_000176,order_0100177,INV-0178,2026-08-28,288300,INR,card,captured,SilverOak Education,Payment for SilverOak Education
pay_000177,order_0100178,INV-0179,2026-08-26,265900,INR,upi,captured,Apex Digital Services,Payment for Apex Digital Services
pay_000178,order_0100179,INV-0180,2026-08-26,62300,INR,upi,captured,Apex Digital Services,Payment for Apex Digital Services
pay_000179,order_0100180,INV-0181,2026-08-22,84500,INR,netbanking,captured,Orion Manufacturing,Payment for Orion Manufacturing
pay_000180,order_0100181,INV-0182,2026-07-24,179400,INR,upi,captured,Nova Technologies,Payment for Nova Technologies
pay_000181,order_0100182,INV-0183,2026-08-17,45200,INR,card,captured,SilverOak Education,Payment for SilverOak Education
pay_000182,order_0100183,INV-0184,2026-09-06,2119100,INR,netbanking,captured,Nova Technologies,Payment for Nova Technologies
pay_000183,order_0100184,INV-0185,2026-09-29,360200,INR,upi,captured,UrbanNest Interiors,Payment for UrbanNest Interiors
pay_000184,order_0100185,0186,2026-09-08,34100,INR,card,captured,Northstar Foods,Payment for Northstar Foods
pay_000185,order_0100186,INV-0187,2026-09-12,123300,INR,upi,captured,Northstar Foods,Payment for Northstar Foods
pay_000186,order_0100187,INV-0188,2026-08-30,1759800,INR,netbanking,captured,SilverOak Education,Payment for SilverOak Education
pay_000187,order_0100188,,2026-08-28,86500,INR,netbanking,captured,UrbanNest Interiors,Payment for UrbanNest Interiors
pay_000188,order_0100189,INV-0190,2026-08-10,19500,INR,upi,captured,Sunrise Health,Payment for Sunrise Health
pay_000189,order_0100190,INV-0191,2026-07-10,62400,INR,netbanking,captured,Nova Technologies,Payment for Nova Technologies
pay_000190,order_0100191,INV-0192,2026-09-10,28400,INR,upi,captured,Vertex Components,Payment for Vertex Components
pay_000191,order_0100192,INV 0193,2026-07-24,328500,INR,netbanking,captured,Kaveri Textiles,Payment for Kaveri Textiles
pay_000192,order_0100193,INV-0194,2026-08-16,338600,INR,netbanking,captured,SilverOak Education,Payment for SilverOak Education
pay_000193,order_0100194,INV-0195,2026-09-22,390300,INR,upi,captured,Kaveri Textiles,Payment for Kaveri Textiles
pay_000194,order_0100195,INV-0196,2026-10-01,21200,INR,card,captured,Kaveri Textiles,Payment for Kaveri Textiles
pay_000195,order_0100196,INV-0197,2026-08-05,58500,INR,card,captured,Orion Manufacturing,Payment for Orion Manufacturing
pay_000196,order_0100197,INV 0198,2026-08-27,80824,INR,card,captured,UrbanNest Interiors,Payment for UrbanNest Interiors
pay_000197,order_0100198,INV 0198,2026-08-20,82576,INR,netbanking,captured,UrbanNest Interiors,Payment for UrbanNest Interiors
pay_000198,order_0100199,INV-0199,2026-08-16,929400,INR,card,captured,Northstar Foods,Payment for Northstar Foods
pay_000199,order_0100200,INV 0201,2026-07-25,658560,INR,card,captured,Apex Digital Services,Payment for Apex Digital Services
pay_000200,order_0100201,INV-0201,2026-08-05,855440,INR,netbanking,captured,Apex Digital Services,Payment for Apex Digital Services
pay_000201,order_0100202,INV-0203,2026-07-30,139727,INR,netbanking,captured,SilverOak Education,Payment for SilverOak Education
pay_000202,order_0100203,INV-0203,2026-07-20,222873,INR,card,captured,SilverOak Education,Payment for SilverOak Education
pay_000203,order_0100204,INV-0204,2026-08-19,412500,INR,netbanking,captured,Northstar Foods,Payment for Northstar Foods
pay_000204,order_0100205,INV-0205,2026-07-27,744470,INR,card,captured,Metro Office Systems,Payment for Metro Office Systems
pay_000205,order_0100206,INV-0205,2026-08-19,483030,INR,netbanking,captured,Metro Office Systems,Payment for Metro Office Systems
pay_000206,order_0100207,INV-0206,2026-07-16,60200,INR,netbanking,captured,Vertex Components,Payment for Vertex Components
pay_000207,order_0100208,INV-0207,2026-08-05,481200,INR,card,captured,Northstar Foods,Payment for Northstar Foods
pay_000208,order_0100209,INV-0208,2026-07-23,954700,INR,netbanking,captured,Nova Technologies,Payment for Nova Technologies
pay_000209,order_0100210,INV 0209,2026-09-01,989900,INR,netbanking,captured,Acme Retail Pvt Ltd,Payment for Acme Retail Pvt Ltd
pay_000210,order_0100211,INV-0210,2026-07-31,1875600,INR,netbanking,captured,BluePeak Consulting,Payment for BluePeak Consulting
pay_000211,order_0100212,INV-0211,2026-09-03,67400,INR,card,captured,SilverOak Education,Payment for SilverOak Education
pay_000212,order_0100213,INV-0212,2026-08-15,2369900,INR,netbanking,captured,BluePeak Consulting,Payment for BluePeak Consulting
pay_000213,order_0100214,INV-0213,2026-07-17,19700,INR,netbanking,captured,Kaveri Textiles,Payment for Kaveri Textiles
pay_000214,order_0100215,INV-0214,2026-07-09,242432,INR,netbanking,captured,Sunrise Health,Payment for Sunrise Health
pay_000215,order_0100216,INV-0214,2026-07-31,163668,INR,card,captured,Sunrise Health,Payment for Sunrise Health
pay_000216,order_0100217,INV-0215,2026-07-19,77600,INR,netbanking,captured,GreenLeaf Distributors,Payment for GreenLeaf Distributors
pay_000217,order_0100218,INV-0216,2026-08-04,75600,INR,netbanking,captured,Metro Office Systems,Payment for Metro Office Systems
pay_000218,order_0100219,,2026-08-01,25500,INR,upi,captured,UrbanNest Interiors,Payment for UrbanNest Interiors
pay_000219,order_0100220,INV-0218,2026-08-31,64200,INR,netbanking,captured,BluePeak Consulting,Payment for BluePeak Consulting
pay_000220,order_0100221,INV-0219,2026-09-05,211900,INR,upi,captured,SilverOak Education,Payment for SilverOak Education
pay_000221,order_0100222,INV-0220,2026-09-19,1112100,INR,upi,captured,Orion Manufacturing,Payment for Orion Manufacturing
pay_000222,order_0100223,INV-0221,2026-09-01,758600,INR,netbanking,captured,GreenLeaf Distributors,Payment for GreenLeaf Distributors
pay_000223,order_0100224,INV-0222,2026-07-23,49902,INR,card,captured,SilverOak Education,Payment for SilverOak Education
pay_000224,order_0100225,INV-0222,2026-08-04,82798,INR,card,captured,SilverOak Education,Payment for SilverOak Education
pay_000225,order_0100226,INV-0223,2026-09-18,1651900,INR,netbanking,captured,Apex Digital Services,Payment for Apex Digital Services
pay_000226,order_0100227,INV-0224,2026-09-03,33700,INR,netbanking,captured,SilverOak Education,Payment for SilverOak Education
pay_000227,order_0100228,INV-0225,2026-08-12,2490800,INR,card,captured,Orion Manufacturing,Payment for Orion Manufacturing
pay_000228,order_0100229,INV-0226,2026-07-29,27200,INR,card,captured,Northstar Foods,Payment for Northstar Foods
pay_000229,order_0100230,INV-0227,2026-08-15,62700,INR,netbanking,captured,Kaveri Textiles,Payment for Kaveri Textiles
pay_000230,order_0100231,INV-0228,2026-07-26,89100,INR,card,captured,Orion Manufacturing,Payment for Orion Manufacturing
pay_000231,order_0100232,INV 0230,2026-08-31,742600,INR,netbanking,captured,BluePeak Consulting,Payment for BluePeak Consulting
pay_000232,order_0100233,INV-0231,2026-08-13,155028,INR,upi,captured,Brightline Logistics,Payment for Brightline Logistics
pay_000233,order_0100234,0231,2026-08-09,87272,INR,card,captured,Brightline Logistics,Payment for Brightline Logistics
pay_000234,order_0100235,INV 0232,2026-07-30,66000,INR,card,captured,SilverOak Education,Payment for SilverOak Education
pay_000235,order_0100236,INV-0233,2026-08-25,326900,INR,upi,captured,Vijay Traders,Payment for Vijay Traders
