invoice_id,customer_id,customer_name,invoice_date,due_date,amount,currency,payment_terms_days,status
INV-0045,CUS-015,Vertex Components,2026-08-24,2026-08-31,20300,INR,7,PAID
INV-0046,CUS-013,UrbanNest Interiors,2026-07-09,2026-08-08,2307700,INR,30,PAID
INV-0047,CUS-002,Northstar Foods,2026-07-05,2026-07-20,41800,INR,15,PAID
INV-0048,CUS-001,Acme Retail Pvt Ltd,2026-07-20,2026-08-19,86000,INR,30,PAID
INV-0049,CUS-006,GreenLeaf Distributors,2026-08-19,2026-10-03,78300,INR,45,UNPAID
INV-0050,CUS-013,UrbanNest Interiors,2026-07-12,2026-08-26,1588500,INR,45,PAID
INV-0051,CUS-014,SilverOak Education,2026-08-17,2026-09-01,854200,INR,15,PARTIAL
INV-0052,CUS-014,SilverOak Education,2026-07-31,2026-08-15,476100,INR,15,PAID
INV-0053,CUS-013,UrbanNest Interiors,2026-08-25,2026-09-09,1132800,INR,15,PAID
INV-0054,CUS-014,SilverOak Education,2026-07-05,2026-08-04,308600,INR,30,UNPAID
INV-0055,CUS-002,Northstar Foods,2026-08-26,2026-09-25,22500,INR,30,PAID
INV-0056,CUS-007,Orion Manufacturing,2026-07-23,2026-08-22,878900,INR,30,PARTIAL
INV-0057,CUS-004,Vijay Traders,2026-07-17,2026-07-24,40000,INR,7,PAID
INV-0058,CUS-002,Northstar Foods,2026-08-12,2026-09-11,371700,INR,30,PAID
INV-0059,CUS-011,Kaveri Textiles,2026-07-27,2026-08-26,75600,INR,30,PAID
INV-0060,CUS-011,Kaveri Textiles,2026-07-25,2026-08-09,33700,INR,15,PAID
INV-0061,CUS-004,Vijay Traders,2026-07-28,2026-08-27,1200200,INR,30,PAID
INV-0062,CUS-013,UrbanNest Interiors,2026-08-17,2026-09-01,216200,INR,15,PAID
INV-0063,CUS-013,UrbanNest Interiors,2026-07-16,2026-08-15,23700,INR,30,PAID
INV-0064,CUS-008,Sunrise Health,2026-08-09,2026-08-16,61200,INR,7,PAID
INV-0065,CUS-007,Orion Manufacturing,2026-08-01,2026-09-15,24200,INR,45,PAID
INV-0066,CUS-004,Vijay Traders,2026-07-12,2026-08-26,897600,INR,45,PAID
INV-0067,CUS-008,Sunrise Health,2026-08-12,2026-09-11,2154000,INR,30,PAID
INV-0068,CUS-009,Metro Office Systems,2026-07-29,2026-08-13,206100,INR,15,PAID
INV-0069,CUS-009,Metro Office Systems,2026-08-01,2026-08-16,62500,INR,15,PAID
INV-0070,CUS-006,GreenLeaf Distributors,2026-08-27,2026-09-03,47700,INR,7,PAID
INV-0071,CUS-002,Northstar Foods,2026-07-27,2026-09-10,26400,INR,45,PAID
INV-0072,CUS-007,Orion Manufacturing,2026-07-25,2026-08-01,295300,INR,7,PAID
INV-0073,CUS-007,Orion Manufacturing,2026-08-24,2026-10-08,78200,INR,45,PAID
INV-0074,CUS-005,BluePeak Consulting,2026-07-28,2026-09-11,59900,INR,45,PARTIAL
INV-0075,CUS-015,Vertex Components,2026-07-09,2026-07-16,28000,INR,7,PAID
INV-0076,CUS-003,Nova Technologies,2026-08-25,2026-10-09,206500,INR,45,PAID
INV-0077,CUS-006,GreenLeaf Distributors,2026-07-22,2026-09-05,489600,INR,45,PAID
INV-0078,CUS-008,Sunrise Health,2026-07-02,2026-07-09,26900,INR,7,PAID
INV-0079,CUS-004,Vijay Traders,2026-07-13,2026-07-20,913600,INR,7,PAID
INV-0080,CUS-010,Apex Digital Services,2026-07-14,2026-08-28,24500,INR,45,PAID
INV-0081,CUS-003,Nova Technologies,2026-07-20,2026-07-27,1522200,INR,7,PAID
INV-0082,CUS-012,Brightline Logistics,2026-07-13,2026-07-20,33100,INR,7,PAID
INV-0083,CUS-005,BluePeak Consulting,2026-08-24,2026-08-31,1637700,INR,7,PAID
INV-0084,CUS-002,Northstar Foods,2026-08-02,2026-09-01,18300,INR,30,PAID
INV-0085,CUS-006,GreenLeaf Distributors,2026-08-10,2026-09-24,172100,INR,45,PAID
INV-0086,CUS-015,Vertex Components,2026-08-04,2026-09-18,438200,INR,45,PAID
INV-0087,CUS-004,Vijay Traders,2026-08-23,2026-08-30,1299000,INR,7,PAID
INV-0088,CUS-011,Kaveri Textiles,2026-07-25,2026-08-24,65300,INR,30,PAID
INV-0089,CUS-006,GreenLeaf Distributors,2026-08-21,2026-09-20,460500,INR,30,PAID
INV-0090,CUS-009,Metro Office Systems,2026-07-13,2026-07-20,76800,INR,7,PAID
INV-0091,CUS-011,Kaveri Textiles,2026-08-15,2026-09-29,107000,INR,45,PAID
INV-0092,CUS-012,Brightline Logistics,2026-07-16,2026-08-15,251100,INR,30,PAID
INV-0093,CUS-012,Brightline Logistics,2026-08-05,2026-09-04,285800,INR,30,PAID
INV-0094,CUS-002,Northstar Foods,2026-08-16,2026-08-31,46100,INR,15,PAID
INV-0095,CUS-012,Brightline Logistics,2026-07-31,2026-08-30,411300,INR,30,UNPAID
INV-0096,CUS-014,SilverOak Education,2026-07-13,2026-08-12,23800,INR,30,PAID
INV-0097,CUS-003,Nova Technologies,2026-07-18,2026-07-25,913700,INR,7,PAID
INV-0098,CUS-001,Acme Retail Pvt Ltd,2026-08-06,2026-09-05,64500,INR,30,UNPAID
INV-0099,CUS-005,BluePeak Consulting,2026-08-25,2026-10-09,1813000,INR,45,PAID
INV-0100,CUS-011,Kaveri Textiles,2026-08-13,2026-08-20,432200,INR,7,PAID
INV-0101,CUS-004,Vijay Traders,2026-07-08,2026-08-22,1239500,INR,45,PAID
INV-0102,CUS-008,Sunrise Health,2026-07-20,2026-09-03,25800,INR,45,UNPAID
INV-0103,CUS-004,Vijay Traders,2026-08-10,2026-08-25,73800,INR,15,PAID
INV-0104,CUS-002,Northstar Foods,2026-07-11,2026-07-18,2445800,INR,7,PAID
INV-0105,CUS-004,Vijay Traders,2026-07-19,2026-08-18,381500,INR,30,PAID
INV-0106,CUS-011,Kaveri Textiles,2026-08-07,2026-08-22,45800,INR,15,PARTIAL
INV-0107,CUS-014,SilverOak Education,2026-07-10,2026-07-17,424600,INR,7,PAID
INV-0108,CUS-008,Sunrise Health,2026-08-14,2026-09-13,2139900,INR,30,PAID
INV-0109,CUS-010,Apex Digital Services,2026-07-03,2026-08-17,26200,INR,45,PAID
INV-0110,CUS-011,Kaveri Textiles,2026-08-23,2026-08-30,1074000,INR,7,PAID
INV-0111,CUS-008,Sunrise Health,2026-08-28,2026-09-27,22600,INR,30,PAID
INV-0112,CUS-007,Orion Manufacturing,2026-07-22,2026-08-21,1580700,INR,30,PAID
INV-0113,CUS-005,BluePeak Consulting,2026-08-12,2026-09-26,286200,INR,45,PAID
INV-0114,CUS-002,Northstar Foods,2026-08-19,2026-10-03,2277900,INR,45,PAID
INV-0115,CUS-004,Vijay Traders,2026-08-03,2026-09-02,33900,INR,30,PAID
INV-0116,CUS-009,Metro Office Systems,2026-07-09,2026-08-08,29200,INR,30,PAID
INV-0117,CUS-011,Kaveri Textiles,2026-08-08,2026-08-23,544800,INR,15,PAID
INV-0118,CUS-014,SilverOak Education,2026-08-28,2026-09-04,1004500,INR,7,UNPAID
INV-0119,CUS-005,BluePeak Consulting,2026-08-02,2026-09-01,82700,INR,30,PAID
INV-0120,CUS-003,Nova Technologies,2026-07-25,2026-08-09,33300,INR,15,PAID
INV-0121,CUS-013,UrbanNest Interiors,2026-08-24,2026-10-08,422600,INR,45,PAID
INV-0122,CUS-005,BluePeak Consulting,2026-08-16,2026-09-15,69600,INR,30,PAID
INV-0123,CUS-008,Sunrise Health,2026-07-23,2026-08-22,1736000,INR,30,UNPAID
INV-0124,CUS-014,SilverOak Education,2026-07-13,2026-07-28,32600,INR,15,PAID
INV-0125,CUS-008,Sunrise Health,2026-08-15,2026-09-29,998400,INR,45,UNPAID
INV-0126,CUS-003,Nova Technologies,2026-08-02,2026-09-01,20500,INR,30,PAID
INV-0127,CUS-008,Sunrise Health,2026-07-01,2026-07-16,28400,INR,15,PAID
INV-0128,CUS-005,BluePeak Consulting,2026-07-22,2026-09-05,1576600,INR,45,UNPAID
INV-0129,CUS-011,Kaveri Textiles,2026-08-15,2026-09-29,41800,INR,45,PAID
INV-0130,CUS-015,Vertex Components,2026-07-19,2026-08-03,829300,INR,15,PAID
INV-0131,CUS-005,BluePeak Consulting,2026-08-27,2026-09-03,426100,INR,7,PAID
INV-0132,CUS-007,Orion Manufacturing,2026-07-10,2026-07-25,61000,INR,15,PAID
INV-0133,CUS-010,Apex Digital Services,2026-08-25,2026-10-09,74900,INR,45,PAID
INV-0134,CUS-011,Kaveri Textiles,2026-07-17,2026-08-31,103800,INR,45,PAID
INV-0135,CUS-003,Nova Technologies,2026-07-05,2026-08-19,222500,INR,45,PAID
INV-0136,CUS-005,BluePeak Consulting,2026-07-13,2026-08-27,197100,INR,45,PAID
INV-0137,CUS-012,Brightline Logistics,2026-07-19,2026-07-26,34800,INR,7,PARTIAL
INV-0138,CUS-012,Brightline Logistics,2026-08-01,2026-08-31,71000,INR,30,PAID
INV-0139,CUS-010,Apex Digital Services,2026-07-17,2026-08-01,470000,INR,15,PAID
INV-0140,CUS-001,Acme Retail Pvt Ltd,2026-08-07,2026-09-06,472500,INR,30,PAID
INV-0141,CUS-003,Nova Technologies,2026-07-13,2026-07-28,497900,INR,15,PAID
INV-0142,CUS-005,BluePeak Consulting,2026-08-28,2026-10-12,25500,INR,45,PAID
INV-0143,CUS-002,Northstar Foods,2026-07-10,2026-07-25,446400,INR,15,PAID
INV-0144,CUS-007,Orion Manufacturing,2026-07-01,2026-07-31,286200,INR,30,PAID
INV-0145,CUS-014,SilverOak Education,2026-08-10,2026-09-09,20700,INR,30,PAID
INV-0146,CUS-009,Metro Office Systems,2026-07-21,2026-08-05,360200,INR,15,PAID
INV-0147,CUS-002,Northstar Foods,2026-07-09,2026-07-16,18900,INR,7,PAID
INV-0148,CUS-009,Metro Office Systems,2026-07-09,2026-08-23,2270100,INR,45,PAID
INV-0149,CUS-012,Brightline Logistics,2026-07-10,2026-08-24,2103400,INR,45,UNPAID
INV-0150,CUS-005,BluePeak Consulting,2026-07-03,2026-08-02,282100,INR,30,PAID
INV-0151,CUS-011,Kaveri Textiles,2026-07-24,2026-08-23,19500,INR,30,UNPAID
INV-0152,CUS-014,SilverOak Education,2026-07-30,2026-08-06,34900,INR,7,PAID
INV-0153,CUS-006,GreenLeaf Distributors,2026-07-16,2026-07-31,50500,INR,15,PAID
INV-0154,CUS-014,SilverOak Education,2026-08-25,2026-09-09,26400,INR,15,PAID
INV-0155,CUS-003,Nova Technologies,2026-07-09,2026-08-08,45600,INR,30,PAID
INV-0156,CUS-013,UrbanNest Interiors,2026-08-20,2026-09-04,106400,INR,15,PAID
INV-0157,CUS-012,Brightline Logistics,2026-07-27,2026-08-03,19600,INR,7,PAID
INV-0158,CUS-004,Vijay Traders,2026-08-09,2026-08-16,34800,INR,7,PAID
INV-0159,CUS-008,Sunrise Health,2026-08-24,2026-10-08,2106500,INR,45,PAID
INV-0160,CUS-002,Northstar Foods,2026-07-21,2026-08-05,212600,INR,15,PAID
INV-0161,CUS-010,Apex Digital Services,2026-08-03,2026-09-02,29600,INR,30,PAID
INV-0162,CUS-002,Northstar Foods,2026-08-24,2026-09-08,1248700,INR,15,PAID
INV-0163,CUS-008,Sunrise Health,2026-07-26,2026-09-09,274800,INR,45,PAID
INV-0164,CUS-003,Nova Technologies,2026-08-13,2026-09-27,19700,INR,45,PAID
INV-0165,CUS-012,Brightline Logistics,2026-08-17,2026-09-16,124500,INR,30,PAID
INV-0166,CUS-007,Orion Manufacturing,2026-07-23,2026-09-06,217800,INR,45,PAID
INV-0167,CUS-010,Apex Digital Services,2026-08-02,2026-08-17,21900,INR,15,PAID
INV-0168,CUS-009,Metro Office Systems,2026-07-24,2026-07-31,25100,INR,7,PAID
INV-0169,CUS-011,Kaveri Textiles,2026-08-23,2026-09-22,211900,INR,30,PAID
INV-0170,CUS-003,Nova Technologies,2026-08-25,2026-09-09,73600,INR,15,PAID
INV-0171,CUS-001,Acme Retail Pvt Ltd,2026-07-06,2026-07-21,61400,INR,15,PAID
INV-0172,CUS-012,Brightline Logistics,2026-07-21,2026-07-28,19300,INR,7,PAID
INV-0173,CUS-011,Kaveri Textiles,2026-07-28,2026-09-11,62600,INR,45,PAID
INV-0174,CUS-002,Northstar Foods,2026-07-23,2026-09-06,2443500,INR,45,PAID
INV-0175,CUS-005,BluePeak Consulting,2026-07-03,2026-07-18,70600,INR,15,PAID
INV-0176,CUS-004,Vijay Traders,2026-08-19,2026-09-03,24500,INR,15,PAID
INV-0177,CUS-007,Orion Manufacturing,2026-07-12,2026-07-27,388200,INR,15,PAID
INV-0178,CUS-014,SilverOak Education,2026-08-17,2026-08-24,288300,INR,7,PAID
INV-0179,CUS-010,Apex Digital Services,2026-07-26,2026-09-09,265900,INR,45,PAID
INV-0180,CUS-010,Apex Digital Services,2026-07-30,2026-08-29,62300,INR,30,PAID
INV-0181,CUS-007,Orion Manufacturing,2026-08-03,2026-08-10,84500,INR,7,PAID
INV-0182,CUS-003,Nova Technologies,2026-07-05,2026-07-12,179400,INR,7,PAID
INV-0183,CUS-014,SilverOak Education,2026-08-11,2026-08-26,45200,INR,15,PAID
INV-0184,CUS-003,Nova Technologies,2026-08-18,2026-08-25,2119100,INR,7,PAID
INV-0185,CUS-013,UrbanNest Interiors,2026-08-07,2026-09-21,360200,INR,45,PAID
INV-0186,CUS-002,Northstar Foods,2026-07-31,2026-09-14,34100,INR,45,PAID
INV-0187,CUS-002,Northstar Foods,2026-07-20,2026-09-03,123300,INR,45,PAID
INV-0188,CUS-014,SilverOak Education,2026-08-24,2026-08-31,1759800,INR,7,PAID
INV-0189,CUS-013,UrbanNest Interiors,2026-08-17,2026-08-24,86500,INR,7,PAID
INV-0190,CUS-008,Sunrise Health,2026-08-02,2026-08-17,19500,INR,15,PAID
INV-0191,CUS-003,Nova Technologies,2026-07-03,2026-07-18,62400,INR,15,PAID
INV-0192,CUS-015,Vertex Components,2026-07-19,2026-09-02,28400,INR,45,PAID
INV-0193,CUS-011,Kaveri Textiles,2026-07-22,2026-07-29,328500,INR,7,PAID
INV-0194,CUS-014,SilverOak Education,2026-08-12,2026-08-27,338600,INR,15,PAID
INV-0195,CUS-011,Kaveri Textiles,2026-08-14,2026-09-28,390300,INR,45,PAID
INV-0196,CUS-011,Kaveri Textiles,2026-08-20,2026-09-19,21200,INR,30,PAID
INV-0197,CUS-007,Orion Manufacturing,2026-08-02,2026-09-01,58500,INR,30,PAID
INV-0198,CUS-013,UrbanNest Interiors,2026-08-01,2026-08-16,163400,INR,15,PARTIAL
INV-0199,CUS-002,Northstar Foods,2026-08-02,2026-08-09,929400,INR,7,PAID
INV-0200,CUS-003,Nova Technologies,2026-08-23,2026-09-07,42200,INR,15,UNPAID
INV-0201,CUS-010,Apex Digital Services,2026-07-19,2026-09-02,1514000,INR,45,PARTIAL
INV-0202,CUS-004,Vijay Traders,2026-07-24,2026-09-07,1751300,INR,45,UNPAID
INV-0203,CUS-014,SilverOak Education,2026-07-13,2026-07-28,362600,INR,15,PAID
INV-0204,CUS-002,Northstar Foods,2026-08-15,2026-08-22,412500,INR,7,PAID
INV-0205,CUS-009,Metro Office Systems,2026-07-10,2026-08-24,1227500,INR,45,PARTIAL
INV-0206,CUS-015,Vertex Components,2026-07-02,2026-08-16,60200,INR,45,PAID
INV-0207,CUS-002,Northstar Foods,2026-07-24,2026-08-08,481200,INR,15,PAID
INV-0208,CUS-003,Nova Technologies,2026-07-03,2026-08-02,954700,INR,30,PAID
INV-0209,CUS-001,Acme Retail Pvt Ltd,2026-08-27,2026-09-03,989900,INR,7,PAID
INV-0210,CUS-005,BluePeak Consulting,2026-07-16,2026-08-15,1875600,INR,30,PAID
INV-0211,CUS-014,SilverOak Education,2026-08-27,2026-10-11,67400,INR,45,PAID
INV-0212,CUS-005,BluePeak Consulting,2026-07-28,2026-08-04,2369900,INR,7,PAID
INV-0213,CUS-011,Kaveri Textiles,2026-07-06,2026-08-05,19700,INR,30,PAID
INV-0214,CUS-008,Sunrise Health,2026-07-03,2026-08-17,406100,INR,45,PAID
INV-0215,CUS-006,GreenLeaf Distributors,2026-07-16,2026-07-23,77600,INR,7,PAID
INV-0216,CUS-009,Metro Office Systems,2026-07-22,2026-08-06,75600,INR,15,PAID
INV-0217,CUS-013,UrbanNest Interiors,2026-07-30,2026-08-06,25500,INR,7,PAID
INV-0218,CUS-005,BluePeak Consulting,2026-08-02,2026-09-16,64200,INR,45,PAID
INV-0219,CUS-014,SilverOak Education,2026-08-19,2026-08-26,211900,INR,7,PAID
INV-0220,CUS-007,Orion Manufacturing,2026-08-17,2026-10-01,1112100,INR,45,PAID
INV-0221,CUS-006,GreenLeaf Distributors,2026-08-29,2026-09-28,758600,INR,30,PAID
INV-0222,CUS-014,SilverOak Education,2026-07-12,2026-08-11,132700,INR,30,PAID
INV-0223,CUS-010,Apex Digital Services,2026-08-15,2026-09-29,1651900,INR,45,PAID
INV-0224,CUS-014,SilverOak Education,2026-08-28,2026-09-27,33700,INR,30,PAID
INV-0225,CUS-007,Orion Manufacturing,2026-07-24,2026-08-08,2490800,INR,15,PAID
INV-0226,CUS-002,Northstar Foods,2026-07-16,2026-08-15,27200,INR,30,PAID
INV-0227,CUS-011,Kaveri Textiles,2026-07-29,2026-08-28,62700,INR,30,PAID
INV-0228,CUS-007,Orion Manufacturing,2026-07-21,2026-08-20,89100,INR,30,PAID
INV-0229,CUS-007,Orion Manufacturing,2026-08-28,2026-09-04,79600,INR,7,UNPAID
INV-0230,CUS-005,BluePeak Consulting,2026-08-14,2026-09-28,742600,INR,45,PAID
INV-0231,CUS-012,Brightline Logistics,2026-07-29,2026-08-05,242300,INR,7,PARTIAL
INV-0232,CUS-014,SilverOak Education,2026-07-11,2026-07-26,66000,INR,15,PAID
INV-0233,CUS-004,Vijay Traders,2026-08-20,2026-10-04,326900,INR,45,PAID
INV-0234,CUS-009,Metro Office Systems,2026-07-09,2026-07-16,2068400,INR,7,PAID
INV-0235,CUS-014,SilverOak Education,2026-08-06,2026-08-13,743000,INR,7,PAID
INV-0236,CUS-009,Metro Office Systems,2026-07-23,2026-08-07,72700,INR,15,PAID
INV-0237,CUS-015,Vertex Components,2026-08-25,2026-09-01,66500,INR,7,PAID
INV-0238,CUS-015,Vertex Components,2026-08-15,2026-08-30,485300,INR,15,PARTIAL
INV-0239,CUS-005,BluePeak Consulting,2026-07-13,2026-08-12,21200,INR,30,PAID
INV-0240,CUS-003,Nova Technologies,2026-08-07,2026-08-22,355700,INR,15,PARTIAL
INV-0241,CUS-010,Apex Digital Services,2026-07-03,2026-07-10,488500,INR,7,PAID
INV-0242,CUS-013,UrbanNest Interiors,2026-08-06,2026-09-20,112400,INR,45,PAID
INV-0243,CUS-005,BluePeak Consulting,2026-07-31,2026-08-15,28300,INR,15,PAID
INV-0244,CUS-007,Orion Manufacturing,2026-07-31,2026-09-14,348400,INR,45,PARTIAL
INV-0245,CUS-006,GreenLeaf Distributors,2026-08-16,2026-09-15,28200,INR,30,PAID
INV-0246,CUS-008,Sunrise Health,2026-07-08,2026-08-07,29500,INR,30,PAID
INV-0247,CUS-007,Orion Manufacturing,2026-08-25,2026-10-09,454400,INR,45,UNPAID
INV-0248,CUS-012,Brightline Logistics,2026-07-21,2026-08-05,2029600,INR,15,PARTIAL
INV-0249,CUS-008,Sunrise Health,2026-07-02,2026-07-09,65800,INR,7,PAID
INV-0250,CUS-001,Acme Retail Pvt Ltd,2026-07-04,2026-08-03,461400,INR,30,PAID
INV-0251,CUS-014,SilverOak Education,2026-07-07,2026-08-21,1698500,INR,45,PAID
INV-0252,CUS-007,Orion Manufacturing,2026-07-04,2026-07-19,740900,INR,15,PAID
INV-0253,CUS-013,UrbanNest Interiors,2026-08-05,2026-09-04,74800,INR,30,UNPAID
INV-0254,CUS-007,Orion Manufacturing,2026-07-24,2026-08-23,88000,INR,30,PAID
INV-0255,CUS-007,Orion Manufacturing,2026-08-02,2026-08-09,1591300,INR,7,PAID
INV-0256,CUS-003,Nova Technologies,2026-08-08,2026-08-23,87600,INR,15,PAID
INV-0257,CUS-010,Apex Digital Services,2026-08-17,2026-09-16,2170200,INR,30,PAID
INV-0258,CUS-005,BluePeak Consulting,2026-07-31,2026-08-07,859100,INR,7,PAID
INV-0259,CUS-013,UrbanNest Interiors,2026-08-27,2026-09-03,64200,INR,7,PAID
INV-0260,CUS-010,Apex Digital Services,2026-07-31,2026-08-15,72200,INR,15,PAID
INV-0261,CUS-004,Vijay Traders,2026-07-03,2026-07-10,1527900,INR,7,PAID
INV-0262,CUS-012,Brightline Logistics,2026-07-14,2026-08-28,30800,INR,45,PAID
INV-0263,CUS-009,Metro Office Systems,2026-07-14,2026-08-13,315200,INR,30,UNPAID
INV-0264,CUS-008,Sunrise Health,2026-08-28,2026-09-27,1366200,INR,30,PAID
INV-0265,CUS-004,Vijay Traders,2026-07-18,2026-08-17,498500,INR,30,PAID
INV-0266,CUS-012,Brightline Logistics,2026-08-15,2026-09-29,242800,INR,45,PAID
INV-0267,CUS-010,Apex Digital Services,2026-08-13,2026-09-27,241300,INR,45,PAID
INV-0268,CUS-012,Brightline Logistics,2026-07-06,2026-08-05,73500,INR,30,PAID
INV-0269,CUS-009,Metro Office Systems,2026-07-18,2026-08-17,45500,INR,30,PAID
INV-0270,CUS-011,Kaveri Textiles,2026-08-27,2026-09-11,828300,INR,15,PAID
INV-0271,CUS-008,Sunrise Health,2026-07-07,2026-07-22,1017500,INR,15,PAID
INV-0272,CUS-015,Vertex Components,2026-08-26,2026-10-10,181600,INR,45,PAID
INV-0273,CUS-001,Acme Retail Pvt Ltd,2026-08-28,2026-09-04,34600,INR,7,PARTIAL
INV-0274,CUS-003,Nova Technologies,2026-07-27,2026-08-11,82800,INR,15,UNPAID
INV-0275,CUS-014,SilverOak Education,2026-08-29,2026-09-28,18900,INR,30,PARTIAL
INV-0276,CUS-006,GreenLeaf Distributors,2026-07-19,2026-09-02,67800,INR,45,PARTIAL
INV-0277,CUS-008,Sunrise Health,2026-07-18,2026-08-02,166500,INR,15,PAID
INV-0278,CUS-001,Acme Retail Pvt Ltd,2026-08-17,2026-09-16,69000,INR,30,PAID
INV-0279,CUS-011,Kaveri Textiles,2026-08-27,2026-10-11,784200,INR,45,PAID
INV-0280,CUS-003,Nova Technologies,2026-07-09,2026-08-23,201600,INR,45,PAID
INV-0281,CUS-008,Sunrise Health,2026-08-18,2026-09-17,26400,INR,30,PAID
INV-0282,CUS-006,GreenLeaf Distributors,2026-08-14,2026-08-29,148400,INR,15,PAID
INV-0283,CUS-011,Kaveri Textiles,2026-08-02,2026-09-01,475200,INR,30,PAID
INV-0284,CUS-004,Vijay Traders,2026-07-09,2026-08-23,406200,INR,45,PAID
INV-0285,CUS-009,Metro Office Systems,2026-08-28,2026-10-12,81000,INR,45,PAID
INV-0286,CUS-010,Apex Digital Services,2026-08-25,2026-09-01,31400,INR,7,PARTIAL
INV-0287,CUS-002,Northstar Foods,2026-07-04,2026-07-19,161300,INR,15,PARTIAL
INV-0288,CUS-008,Sunrise Health,2026-07-08,2026-07-23,2172300,INR,15,PAID
INV-0289,CUS-008,Sunrise Health,2026-07-09,2026-08-23,2331000,INR,45,PAID
INV-0290,CUS-005,BluePeak Consulting,2026-08-16,2026-08-23,53000,INR,7,PAID
INV-0291,CUS-001,Acme Retail Pvt Ltd,2026-07-28,2026-08-27,726100,INR,30,PAID
