entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,posted_at,credit_type,description,payment_id,settlement_utr,order_id,order_receipt,method,card_network,card_issuer,card_type,dispute_id
pay_000227,payment,0,2432017,2490800,INR,49816,8967,False,True,2026-08-12,2026-09-13,setl_000003,,default,Payment for Orion Manufacturing,pay_000227,UTR20260000000004,order_0100228,,card,RuPay,AXIS,credit,
pay_000483,payment,0,427858,438200,INR,8764,1578,False,True,2026-08-05,2026-09-13,setl_000003,,default,Payment for Vijay Traders,pay_000483,UTR20260000000004,order_0100484,,netbanking,,,,
pay_000064,payment,0,211098,216200,INR,4324,778,False,True,2026-08-19,2026-09-13,setl_000003,,default,Payment for UrbanNest Interiors,pay_000064,UTR20260000000004,order_0100065,,netbanking,,,,
pay_000514,payment,0,235312,241000,INR,4820,868,False,True,2026-08-06,2026-09-13,setl_000003,,default,Payment for Orion Manufacturing,pay_000514,UTR20260000000004,order_0100515,,card,Visa,AXIS,credit,
pay_000421,payment,0,236094,241800,INR,4836,870,False,True,2026-08-01,2026-09-13,setl_000003,,default,Payment for Vertex Components,pay_000421,UTR20260000000004,order_0100422,,card,Visa,HDFC,credit,
pay_000191,payment,0,320747,328500,INR,6570,1183,False,True,2026-07-24,2026-09-03,setl_000004,,default,Payment for Kaveri Textiles,pay_000191,UTR20260000000005,order_0100192,,netbanking,,,,
pay_000523,payment,0,61664,62400,INR,624,112,False,True,2026-07-08,2026-09-03,setl_000004,,default,Payment for Nova Technologies,pay_000523,UTR20260000000005,order_0100524,,upi,,,,
pay_000488,payment,0,2388763,2446500,INR,48930,8807,False,True,2026-09-01,2026-09-03,setl_000004,,default,Payment for Northstar Foods,pay_000488,UTR20260000000005,order_0100489,,netbanking,,,,
pay_000042,payment,0,49211,50400,INR,1008,181,False,True,2026-08-25,2026-09-03,setl_000004,,default,Payment for Apex Digital Services,pay_000042,UTR20260000000005,order_0100043,,netbanking,,,,
pay_000400,payment,0,153490,157200,INR,3144,566,False,True,2026-08-16,2026-09-03,setl_000004,,default,Payment for Orion Manufacturing,pay_000400,UTR20260000000005,order_0100401,,netbanking,,,,
pay_000410,payment,0,478729,490300,INR,9806,1765,False,True,2026-08-23,2026-09-03,setl_000004,,default,Payment for Nova Technologies,pay_000410,UTR20260000000005,order_0100411,,netbanking,,,,
pay_000511,payment,0,7749,7841,INR,78,14,False,True,2026-08-04,2026-09-03,setl_000004,,default,Payment for Sunrise Health,pay_000511,UTR20260000000005,order_0100512,,upi,,,,
pay_000126,payment,0,28065,28400,INR,284,51,False,True,2026-07-23,2026-10-13,setl_000005,,default,Payment for Sunrise Health,pay_000126,UTR20260000000006,order_0100127,,upi,,,,
pay_000322,payment,0,474921,486400,INR,9728,1751,False,True,2026-09-11,2026-10-13,setl_000005,,default,Payment for SilverOak Education,pay_000322,UTR20260000000006,order_0100323,,netbanking,,,,
pay_000495,payment,0,24996,25600,INR,512,92,False,True,2026-08-13,2026-10-13,setl_000005,,default,Payment for Apex Digital Services,pay_000495,UTR20260000000006,order_0100496,,netbanking,,,,
pay_000508,payment,0,349942,358400,INR,7168,1290,False,True,2026-07-16,2026-10-13,setl_000005,,default,Payment for Brightline Logistics,pay_000508,UTR20260000000006,order_0100509,,card,MasterCard,HDFC,credit,
pay_000460,payment,0,21578,22100,INR,442,80,False,True,2026-10-11,2026-10-13,setl_000005,,default,Payment for Nova Technologies,pay_000460,UTR20260000000006,order_0100461,,card,RuPay,AXIS,credit,
pay_000328,payment,0,44329,45400,INR,908,163,False,True,2026-09-27,2026-10-13,setl_000005,,default,Payment for SilverOak Education,pay_000328,UTR20260000000006,order_0100329,,netbanking,,,,
pay_000124,payment,0,31831,32600,INR,652,117,False,True,2026-07-16,2026-10-13,setl_000005,,default,Payment for SilverOak Education,pay_000124,UTR20260000000006,order_0100125,,netbanking,,,,
pay_000120,payment,0,80748,82700,INR,1654,298,False,True,2026-08-06,2026-08-27,setl_000006,,default,Payment for BluePeak Consulting,pay_000120,UTR20260000000007,order_0100121,,card,MasterCard,HDFC,debit,
pay_000062,payment,0,32905,33700,INR,674,121,False,True,2026-07-29,2026-08-27,setl_000006,,default,Payment for Kaveri Textiles,pay_000062,UTR20260000000007,order_0100063,,card,RuPay,HDFC,credit,
pay_000216,payment,0,75769,77600,INR,1552,279,False,True,2026-07-19,2026-08-27,setl_000006,,default,Payment for GreenLeaf Distributors,pay_000216,UTR20260000000007,order_0100217,,netbanking,,,,
pay_000479,payment,0,171463,173510,INR,1735,312,False,True,2026-08-25,2026-08-27,setl_000006,,default,Payment for Nova Technologies,pay_000479,UTR20260000000007,order_0100480,,upi,,,,
pay_000135,payment,0,194774,197100,INR,1971,355,False,True,2026-08-24,2026-08-27,setl_000006,,default,Payment for BluePeak Consulting,pay_000135,UTR20260000000007,order_0100136,,upi,,,,
pay_000166,payment,0,24508,25100,INR,502,90,False,True,2026-08-10,2026-08-27,setl_000006,,default,Payment for Metro Office Systems,pay_000166,UTR20260000000007,order_0100167,,card,RuPay,HDFC,debit,
pay_000290,payment,0,215340,220545,INR,4411,794,False,True,2026-08-08,2026-08-27,setl_000006,,default,Payment for Vijay Traders,pay_000290,UTR20260000000007,order_0100291,,netbanking,,,,
pay_000528,payment,0,474921,486400,INR,9728,1751,False,True,2026-07-25,2026-09-21,setl_000007,,default,Payment for SilverOak Education,pay_000528,UTR20260000000008,order_0100529,,card,RuPay,HDFC,credit,
pay_000454,payment,0,46086,47200,INR,944,170,False,True,2026-07-20,2026-09-21,setl_000007,,default,Payment for Apex Digital Services,pay_000454,UTR20260000000008,order_0100455,,netbanking,,,,
pay_000353,payment,0,22750,23300,INR,466,84,False,True,2026-07-29,2026-09-21,setl_000007,,default,Payment for Metro Office Systems,pay_000353,UTR20260000000008,order_0100354,,netbanking,,,,
pay_000321,payment,0,46672,47800,INR,956,172,False,True,2026-09-15,2026-09-21,setl_000007,,default,Payment for Metro Office Systems,pay_000321,UTR20260000000008,order_0100322,,card,RuPay,ICIC,credit,
pay_000129,payment,0,396735,406324,INR,8126,1463,False,True,2026-08-14,2026-09-21,setl_000007,,default,Payment for Vertex Components,pay_000129,UTR20260000000008,order_0100130,,netbanking,,,,
pay_000466,payment,0,2229024,2282900,INR,45658,8218,False,True,2026-09-19,2026-09-21,setl_000007,,default,Payment for Orion Manufacturing,pay_000466,UTR20260000000008,order_0100467,,card,MasterCard,SBIN,debit,
pay_000021,payment,0,23816,24100,INR,241,43,False,True,2026-08-24,2026-09-21,setl_000007,,default,Payment for Vertex Components,pay_000021,UTR20260000000008,order_0100022,,upi,,,,
pay_000300,payment,0,717532,726100,INR,7261,1307,False,True,2026-09-05,2026-09-27,setl_000008,,default,Payment for Acme Retail Pvt Ltd,pay_000300,UTR20260000000009,order_0100301,,upi,,,,
pay_000520,payment,0,2034134,2083300,INR,41666,7500,False,True,2026-07-20,2026-09-27,setl_000008,,default,Payment for Acme Retail Pvt Ltd,pay_000520,UTR20260000000009,order_0100521,,card,Visa,HDFC,credit,
pay_000317,payment,0,310983,318500,INR,6370,1147,False,True,2026-07-24,2026-09-27,setl_000008,,default,Payment for Metro Office Systems,pay_000317,UTR20260000000009,order_0100318,,netbanking,,,,
pay_000376,payment,0,621283,636300,INR,12726,2291,False,True,2026-09-25,2026-09-27,setl_000008,,default,Payment for BluePeak Consulting,pay_000376,UTR20260000000009,order_0100377,,netbanking,,,,
pay_000266,payment,0,30437,30800,INR,308,55,False,True,2026-08-28,2026-09-27,setl_000008,,default,Payment for Brightline Logistics,pay_000266,UTR20260000000009,order_0100267,,upi,,,,
pay_000382,payment,0,52823,54100,INR,1082,195,False,True,2026-09-04,2026-09-27,setl_000008,,default,Payment for UrbanNest Interiors,pay_000382,UTR20260000000009,order_0100383,,netbanking,,,,
pay_000501,payment,0,81041,83000,INR,1660,299,False,True,2026-08-27,2026-09-27,setl_000008,,default,Payment for Kaveri Textiles,pay_000501,UTR20260000000009,order_0100502,,card,Visa,AXIS,credit,
pay_000430,payment,0,41504,42000,INR,420,76,False,True,2026-07-19,2026-09-11,setl_000009,,default,Payment for Northstar Foods,pay_000430,UTR20260000000010,order_0100431,,upi,,,,
pay_000510,payment,0,1861995,1907000,INR,38140,6865,False,True,2026-09-04,2026-09-11,setl_000009,,default,Payment for UrbanNest Interiors,pay_000510,UTR20260000000010,order_0100511,,card,Visa,HDFC,credit,
pay_000329,payment,0,26363,27000,INR,540,97,False,True,2026-08-26,2026-09-11,setl_000009,,default,Payment for Apex Digital Services,pay_000329,UTR20260000000010,order_0100330,,netbanking,,,,
pay_000019,payment,0,14261,14606,INR,292,53,False,True,2026-07-25,2026-09-11,setl_000009,,default,Payment for UrbanNest Interiors,pay_000019,UTR20260000000010,order_0100020,,card,RuPay,AXIS,credit,
pay_000381,payment,0,32215,32600,INR,326,59,False,True,2026-08-16,2026-09-11,setl_000009,,default,Payment for Brightline Logistics,pay_000381,UTR20260000000010,order_0100382,,upi,,,,
pay_000083,payment,0,23922,24500,INR,490,88,False,True,2026-08-26,2026-09-11,setl_000009,,default,Payment for Apex Digital Services,pay_000083,UTR20260000000010,order_0100084,,card,MasterCard,HDFC,credit,
pay_000386,payment,0,14430,14779,INR,296,53,False,True,2026-09-09,2026-09-11,setl_000009,,default,Payment for BluePeak Consulting,pay_000386,UTR20260000000010,order_0100387,,netbanking,,,,
pay_000015,payment,0,76745,78600,INR,1572,283,False,True,2026-09-14,2026-09-15,setl_000010,,default,Payment for Nova Technologies,pay_000015,UTR20260000000011,order_0100016,,netbanking,,,,
pay_000283,payment,0,67372,69000,INR,1380,248,False,True,2026-08-24,2026-09-15,setl_000010,,default,Payment for Acme Retail Pvt Ltd,pay_000283,UTR20260000000011,order_0100284,,card,MasterCard,AXIS,credit,
pay_000049,payment,0,41307,41800,INR,418,75,False,True,2026-07-18,2026-09-15,setl_000010,,default,Payment for Northstar Foods,pay_000049,UTR20260000000011,order_0100050,,upi,,,,
pay_000017,payment,0,456944,462400,INR,4624,832,False,True,2026-08-29,2026-09-15,setl_000010,,default,Payment for Metro Office Systems,pay_000017,UTR20260000000011,order_0100018,,upi,,,,
pay_000259,payment,0,1553745,1591300,INR,31826,5729,False,True,2026-08-08,2026-09-15,setl_000010,,default,Payment for Orion Manufacturing,pay_000259,UTR20260000000011,order_0100260,,netbanking,,,,
pay_000289,payment,0,181274,185655,INR,3713,668,False,True,2026-08-21,2026-09-15,setl_000010,,default,Payment for Vijay Traders,pay_000289,UTR20260000000011,order_0100290,,card,RuPay,AXIS,debit,
pay_000312,payment,0,201988,204400,INR,2044,368,False,True,2026-08-15,2026-09-15,setl_000010,,default,Payment for Metro Office Systems,pay_000312,UTR20260000000011,order_0100313,,upi,,,,
pay_000325,payment,0,17886,18100,INR,181,33,False,True,2026-08-30,2026-09-27,setl_000011,,default,Payment for Northstar Foods,pay_000325,UTR20260000000012,order_0100326,,upi,,,,
pay_000008,payment,0,13955,14121,INR,141,25,False,True,2026-08-12,2026-09-27,setl_000011,,default,Payment for SilverOak Education,pay_000008,UTR20260000000012,order_0100009,,upi,,,,
pay_000012,payment,0,1497407,1533600,INR,30672,5521,False,True,2026-08-23,2026-09-27,setl_000011,,default,Payment for SilverOak Education,pay_000012,UTR20260000000012,order_0100013,,card,RuPay,HDFC,debit,
pay_000255,payment,0,450511,461400,INR,9228,1661,False,True,2026-07-25,2026-09-27,setl_000011,,default,Payment for Acme Retail Pvt Ltd,pay_000255,UTR20260000000012,order_0100256,,card,MasterCard,AXIS,credit,
pay_000334,payment,0,202152,207038,INR,4141,745,False,True,2026-09-26,2026-09-27,setl_000011,,default,Payment for Vertex Components,pay_000334,UTR20260000000012,order_0100335,,netbanking,,,,
pay_000131,payment,0,59560,61000,INR,1220,220,False,True,2026-07-11,2026-09-27,setl_000011,,default,Payment for Orion Manufacturing,pay_000131,UTR20260000000012,order_0100132,,netbanking,,,,
pay_000345,payment,0,166413,168400,INR,1684,303,False,True,2026-08-21,2026-09-27,setl_000011,,default,Payment for BluePeak Consulting,pay_000345,UTR20260000000012,order_0100346,,upi,,,,
pay_000384,payment,0,786002,805000,INR,16100,2898,False,True,2026-08-15,2026-09-30,setl_000012,,default,Payment for Orion Manufacturing,pay_000384,UTR20260000000013,order_0100385,,netbanking,,,,
pay_000277,payment,0,17856,18288,INR,366,66,False,True,2026-09-03,2026-09-30,setl_000012,,default,Payment for Acme Retail Pvt Ltd,pay_000277,UTR20260000000013,order_0100278,,card,MasterCard,ICIC,debit,
pay_000174,payment,0,23922,24500,INR,490,88,False,True,2026-08-24,2026-09-30,setl_000012,,default,Payment for Vijay Traders,pay_000174,UTR20260000000013,order_0100175,,card,Visa,ICIC,credit,
pay_000332,payment,0,32018,32400,INR,324,58,False,True,2026-09-09,2026-09-30,setl_000012,,default,Payment for Orion Manufacturing,pay_000332,UTR20260000000013,order_0100333,,upi,,,,
pay_000349,payment,0,55752,57100,INR,1142,206,False,True,2026-09-28,2026-09-30,setl_000012,,default,Payment for Orion Manufacturing,pay_000349,UTR20260000000013,order_0100350,,card,RuPay,AXIS,debit,
pay_000269,payment,0,237070,242800,INR,4856,874,False,True,2026-09-01,2026-09-30,setl_000012,,default,Payment for Brightline Logistics,pay_000269,UTR20260000000013,order_0100270,,card,Visa,ICIC,credit,
pay_000111,payment,0,25582,26200,INR,524,94,False,True,2026-08-25,2026-09-30,setl_000012,,default,Payment for Apex Digital Services,pay_000111,UTR20260000000013,order_0100112,,netbanking,,,,
pay_000426,payment,0,54874,56200,INR,1124,202,False,True,2026-10-24,2026-10-26,setl_000013,,default,Payment for GreenLeaf Distributors,pay_000426,UTR20260000000014,order_0100427,,netbanking,,,,
pay_000378,payment,0,78760,79700,INR,797,143,False,True,2026-08-20,2026-10-26,setl_000013,,default,Payment for SilverOak Education,pay_000378,UTR20260000000014,order_0100379,,upi,,,,
pay_000385,payment,0,14646,14821,INR,148,27,False,True,2026-09-04,2026-10-26,setl_000013,,default,Payment for BluePeak Consulting,pay_000385,UTR20260000000014,order_0100386,,upi,,,,
pay_000090,payment,0,1283672,1299000,INR,12990,2338,False,True,2026-09-03,2026-10-26,setl_000013,,default,Payment for Vijay Traders,pay_000090,UTR20260000000014,order_0100091,,upi,,,,
pay_000401,payment,0,82416,83400,INR,834,150,False,True,2026-08-13,2026-10-26,setl_000013,,default,Payment for Vijay Traders,pay_000401,UTR20260000000014,order_0100402,,upi,,,,
pay_000002,payment,0,32709,33100,INR,331,60,False,True,2026-08-10,2026-10-26,setl_000013,,default,Payment for Vertex Components,pay_000002,UTR20260000000014,order_0100003,,upi,,,,
pay_000301,payment,0,43059,44100,INR,882,159,False,True,2026-09-24,2026-10-26,setl_000013,,default,Payment for Orion Manufacturing,pay_000301,UTR20260000000014,order_0100302,,card,Visa,HDFC,credit,
pay_000272,payment,0,44426,45500,INR,910,164,False,True,2026-08-06,2026-09-15,setl_000014,,default,Payment for Metro Office Systems,pay_000272,UTR20260000000015,order_0100273,,netbanking,,,,
pay_000024,payment,0,66688,68300,INR,1366,246,False,True,2026-07-30,2026-09-15,setl_000014,,default,Payment for Northstar Foods,pay_000024,UTR20260000000015,order_0100025,,card,RuPay,HDFC,credit,
pay_000449,payment,0,54093,55400,INR,1108,199,False,True,2026-08-03,2026-09-15,setl_000014,,default,Payment for Kaveri Textiles,pay_000449,UTR20260000000015,order_0100450,,card,Visa,AXIS,debit,
pay_000140,payment,0,461349,472500,INR,9450,1701,False,True,2026-09-14,2026-09-15,setl_000014,,default,Payment for Acme Retail Pvt Ltd,pay_000140,UTR20260000000015,order_0100141,,card,MasterCard,ICIC,debit,
pay_000204,payment,0,726901,744470,INR,14889,2680,False,True,2026-07-27,2026-09-15,setl_000014,,default,Payment for Metro Office Systems,pay_000204,UTR20260000000015,order_0100205,,card,Visa,HDFC,debit,
pay_000173,payment,0,68934,70600,INR,1412,254,False,True,2026-07-11,2026-09-15,setl_000014,,default,Payment for BluePeak Consulting,pay_000173,UTR20260000000015,order_0100174,,netbanking,,,,
pay_000128,payment,0,412993,422976,INR,8460,1523,False,True,2026-07-25,2026-09-15,setl_000014,,default,Payment for Vertex Components,pay_000128,UTR20260000000015,order_0100129,,card,Visa,ICIC,debit,
pay_000220,payment,0,209400,211900,INR,2119,381,False,True,2026-09-05,2026-10-09,setl_000015,,default,Payment for SilverOak Education,pay_000220,UTR20260000000016,order_0100221,,upi,,,,
pay_000104,payment,0,72058,73800,INR,1476,266,False,True,2026-09-01,2026-10-09,setl_000015,,default,Payment for Vijay Traders,pay_000104,UTR20260000000016,order_0100105,,card,Visa,AXIS,debit,
pay_000451,payment,0,54385,55700,INR,1114,201,False,True,2026-08-24,2026-10-09,setl_000015,,default,Payment for Apex Digital Services,pay_000451,UTR20260000000016,order_0100452,,card,Visa,AXIS,credit,
pay_000031,payment,0,729371,747000,INR,14940,2689,False,True,2026-08-13,2026-10-09,setl_000015,,default,Payment for Nova Technologies,pay_000031,UTR20260000000016,order_0100032,,card,Visa,AXIS,credit,
pay_000275,payment,0,177314,181600,INR,3632,654,False,True,2026-10-06,2026-10-09,setl_000015,,default,Payment for Vertex Components,pay_000275,UTR20260000000016,order_0100276,,card,MasterCard,SBIN,credit,
pay_000087,payment,0,17868,18300,INR,366,66,False,True,2026-09-07,2026-10-09,setl_000015,,default,Payment for Northstar Foods,pay_000087,UTR20260000000016,order_0100088,,netbanking,,,,
pay_000198,payment,0,907466,929400,INR,18588,3346,False,True,2026-08-16,2026-10-09,setl_000015,,default,Payment for Northstar Foods,pay_000198,UTR20260000000016,order_0100199,,card,RuPay,ICIC,debit,
pay_000142,payment,0,24898,25500,INR,510,92,False,True,2026-09-02,2026-09-24,setl_000016,,default,Payment for BluePeak Consulting,pay_000142,UTR20260000000017,order_0100143,,card,MasterCard,ICIC,credit,
pay_000051,payment,0,1569756,1588500,INR,15885,2859,False,True,2026-08-13,2026-09-24,setl_000016,,default,Payment for UrbanNest Interiors,pay_000051,UTR20260000000017,order_0100052,,upi,,,,
pay_000235,payment,0,323043,326900,INR,3269,588,False,True,2026-08-25,2026-09-24,setl_000016,,default,Payment for Vijay Traders,pay_000235,UTR20260000000017,order_0100236,,upi,,,,
pay_000181,payment,0,44133,45200,INR,904,163,False,True,2026-08-17,2026-09-24,setl_000016,,default,Payment for SilverOak Education,pay_000181,UTR20260000000017,order_0100182,,card,Visa,HDFC,debit,
pay_000193,payment,0,385694,390300,INR,3903,703,False,True,2026-09-22,2026-09-24,setl_000016,,default,Payment for Kaveri Textiles,pay_000193,UTR20260000000017,order_0100194,,upi,,,,
pay_000013,payment,0,1775202,1796400,INR,17964,3234,False,True,2026-09-14,2026-09-24,setl_000016,,default,Payment for Vijay Traders,pay_000013,UTR20260000000017,order_0100014,,upi,,,,
pay_000203,payment,0,402765,412500,INR,8250,1485,False,True,2026-08-19,2026-09-24,setl_000016,,default,Payment for Northstar Foods,pay_000203,UTR20260000000017,order_0100204,,netbanking,,,,
pay_000114,payment,0,1543395,1580700,INR,31614,5691,False,True,2026-08-02,2026-09-20,setl_000017,,default,Payment for Orion Manufacturing,pay_000114,UTR20260000000018,order_0100115,,netbanking,,,,
pay_000276,payment,0,16120,16312,INR,163,29,False,True,2026-09-16,2026-09-20,setl_000017,,default,Payment for Acme Retail Pvt Ltd,pay_000276,UTR20260000000018,order_0100277,,upi,,,,
pay_000397,payment,0,33994,34400,INR,344,62,False,True,2026-08-19,2026-09-20,setl_000017,,default,Payment for SilverOak Education,pay_000397,UTR20260000000018,order_0100398,,upi,,,,
pay_000035,payment,0,725379,742911,INR,14858,2674,False,True,2026-08-11,2026-09-20,setl_000017,,default,Payment for SilverOak Education,pay_000035,UTR20260000000018,order_0100036,,card,RuPay,ICIC,credit,
pay_000110,payment,0,2114649,2139900,INR,21399,3852,False,True,2026-09-18,2026-09-20,setl_000017,,default,Payment for Sunrise Health,pay_000110,UTR20260000000018,order_0100111,,upi,,,,
pay_000084,payment,0,1486276,1522200,INR,30444,5480,False,True,2026-07-26,2026-09-20,setl_000017,,default,Payment for Nova Technologies,pay_000084,UTR20260000000018,order_0100085,,netbanking,,,,
pay_000363,payment,0,50578,51800,INR,1036,186,False,True,2026-09-03,2026-09-20,setl_000017,,default,Payment for GreenLeaf Distributors,pay_000363,UTR20260000000018,order_0100364,,card,Visa,AXIS,debit,
pay_000335,payment,0,53995,55300,INR,1106,199,False,True,2026-07-23,2026-08-25,setl_000018,,default,Payment for Apex Digital Services,pay_000335,UTR20260000000019,order_0100336,,netbanking,,,,
pay_000369,payment,0,45358,45900,INR,459,83,False,True,2026-07-28,2026-08-25,setl_000018,,default,Payment for GreenLeaf Distributors,pay_000369,UTR20260000000019,order_0100370,,upi,,,,
pay_000308,payment,0,53995,55300,INR,1106,199,False,True,2026-08-13,2026-08-25,setl_000018,,default,Payment for Nova Technologies,pay_000308,UTR20260000000019,order_0100309,,netbanking,,,,
pay_000409,payment,0,34587,35000,INR,350,63,False,True,2026-08-03,2026-08-25,setl_000018,,default,Payment for Apex Digital Services,pay_000409,UTR20260000000019,order_0100410,,upi,,,,
pay_000336,payment,0,27144,27800,INR,556,100,False,True,2026-08-24,2026-08-25,setl_000018,,default,Payment for SilverOak Education,pay_000336,UTR20260000000019,order_0100337,,netbanking,,,,
pay_000405,payment,0,42376,43400,INR,868,156,False,True,2026-07-14,2026-08-25,setl_000018,,default,Payment for UrbanNest Interiors,pay_000405,UTR20260000000019,order_0100406,,netbanking,,,,
pay_000509,payment,0,77038,78900,INR,1578,284,False,True,2026-08-19,2026-08-25,setl_000018,,default,Payment for Acme Retail Pvt Ltd,pay_000509,UTR20260000000019,order_0100510,,card,RuPay,ICIC,credit,
pay_000530,payment,0,23922,24500,INR,490,88,False,True,2026-07-16,2026-08-27,setl_000019,,default,Payment for Apex Digital Services,pay_000530,UTR20260000000020,order_0100531,,card,Visa,AXIS,credit,
pay_000025,payment,0,465245,470800,INR,4708,847,False,True,2026-08-12,2026-08-27,setl_000019,,default,Payment for Brightline Logistics,pay_000025,UTR20260000000020,order_0100026,,upi,,,,
pay_000011,payment,0,62850,63600,INR,636,114,False,True,2026-08-26,2026-08-27,setl_000019,,default,Payment for Nova Technologies,pay_000011,UTR20260000000020,order_0100012,,upi,,,,
pay_000081,payment,0,26265,26900,INR,538,97,False,True,2026-07-20,2026-08-27,setl_000019,,default,Payment for Sunrise Health,pay_000081,UTR20260000000020,order_0100082,,card,MasterCard,HDFC,debit,
pay_000141,payment,0,492025,497900,INR,4979,896,False,True,2026-08-04,2026-08-27,setl_000019,,default,Payment for Nova Technologies,pay_000141,UTR20260000000020,order_0100142,,upi,,,,
pay_000243,payment,0,145439,148954,INR,2979,536,False,True,2026-08-14,2026-08-27,setl_000019,,default,Payment for Nova Technologies,pay_000243,UTR20260000000020,order_0100244,,netbanking,,,,
pay_000311,payment,0,2209203,2262600,INR,45252,8145,False,True,2026-08-11,2026-08-27,setl_000019,,default,Payment for Orion Manufacturing,pay_000311,UTR20260000000020,order_0100312,,card,Visa,HDFC,debit,
pay_000490,payment,0,78957,79900,INR,799,144,False,True,2026-07-14,2026-09-12,setl_000020,,default,Payment for Orion Manufacturing,pay_000490,UTR20260000000021,order_0100491,,upi,,,,
pay_000450,payment,0,167257,171300,INR,3426,617,False,True,2026-08-23,2026-09-12,setl_000020,,default,Payment for Orion Manufacturing,pay_000450,UTR20260000000021,order_0100451,,netbanking,,,,
pay_000337,payment,0,433033,443500,INR,8870,1597,False,True,2026-07-22,2026-09-12,setl_000020,,default,Payment for GreenLeaf Distributors,pay_000337,UTR20260000000021,order_0100338,,netbanking,,,,
pay_000165,payment,0,21383,21900,INR,438,79,False,True,2026-08-04,2026-09-12,setl_000020,,default,Payment for Apex Digital Services,pay_000165,UTR20260000000021,order_0100166,,card,RuPay,HDFC,credit,
pay_000431,payment,0,368396,377300,INR,7546,1358,False,True,2026-09-10,2026-09-12,setl_000020,,default,Payment for Vijay Traders,pay_000431,UTR20260000000021,order_0100432,,card,MasterCard,SBIN,credit,
pay_000258,payment,0,85923,88000,INR,1760,317,False,True,2026-08-17,2026-09-12,setl_000020,,default,Payment for Orion Manufacturing,pay_000258,UTR20260000000021,order_0100259,,card,RuPay,AXIS,credit,
