settlement_id,settlement_date,status,gross_amount,fees,tax,net_amount,currency,utr
setl_000052,2026-09-10,processed,3657594,73152,13168,3571274,INR,UTR20260000000053
setl_000053,2026-09-20,processed,796900,15938,2868,778094,INR,UTR20260000000054
setl_000054,2026-09-11,processed,1458692,19800,3564,1435328,INR,UTR20260000000055
setl_000055,2026-09-07,processed,1097527,20340,3662,1073525,INR,UTR20260000000056
setl_000056,2026-09-19,processed,2858300,56781,10221,2791298,INR,UTR20260000000057
setl_000057,2026-09-23,processed,1756676,21922,3946,1730808,INR,UTR20260000000058
setl_000058,2026-08-17,processed,1973913,35270,6349,1932294,INR,UTR20260000000059
setl_000059,2026-10-02,processed,3358255,60078,10815,3287362,INR,UTR20260000000060
setl_000060,2026-10-05,processed,3653308,61738,11113,3580457,INR,UTR20260000000061
setl_000061,2026-09-25,processed,5937448,118749,21375,5797324,INR,UTR20260000000062
setl_000062,2026-09-23,processed,1245915,22944,4129,1218842,INR,UTR20260000000063
setl_000063,2026-10-18,processed,2102755,38193,6875,2057687,INR,UTR20260000000064
setl_000064,2026-09-11,processed,900655,17145,3086,880424,INR,UTR20260000000065
setl_000065,2026-09-09,processed,3532100,53650,9656,3468794,INR,UTR20260000000066
setl_000066,2026-09-25,processed,1705464,28318,5097,1672049,INR,UTR20260000000067
setl_000067,2026-10-08,processed,3121276,59876,10778,3050622,INR,UTR20260000000068
setl_000068,2026-09-07,processed,4044500,68798,12385,3963317,INR,UTR20260000000069
setl_000069,2026-09-08,processed,2021150,29351,5284,1986515,INR,UTR20260000000070
setl_000070,2026-09-30,processed,2637200,34461,6203,2596536,INR,UTR20260000000071
setl_000071,2026-09-30,processed,732450,9994,1799,720657,INR,UTR20260000000072
setl_000072,2026-09-03,processed,2761894,51972,9355,2700567,INR,UTR20260000000073
setl_000073,2026-09-13,processed,7600312,127387,22929,7449996,INR,UTR20260000000074
setl_000074,2026-10-11,processed,4649346,89642,16136,4543568,INR,UTR20260000000075
setl_000075,2026-10-06,processed,771848,12269,2209,757370,INR,UTR20260000000076
setl_000076,2026-09-07,processed,6696567,116135,20905,6559527,INR,UTR20260000000077
